Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2000,124,1,862,H0,270900,7,4454625688,3830288640,749684596,0
2000,124,1,887,H0,270900,7,6032,5187,603,0
2000,124,1,899,H0,270900,7,14134,12154,512,0
2000,144,1,0,H0,270900,8,2115001821,2115001821,406907011,6
2000,144,1,364,H0,270900,8,1021153024,1021153024,198063204,0
2000,144,1,458,H0,270900,8,362626624,362626624,72171281,0
2000,144,1,682,H0,270900,8,545491776,545491776,102198684,0
2000,144,1,784,H0,270900,8,185730000,185730000,34473765,0
2000,144,1,826,H0,270900,8,397,397,76,6
2000,152,1,0,H0,270900,1,,,1982570734,0
2000,152,1,24,H0,270900,1,,,95070535,0
2000,152,1,32,H0,270900,1,,,1274207839,0
2000,152,1,76,H0,270900,1,,,10777446,0
2000,152,1,218,H0,270900,1,,,154854659,0
2000,152,1,251,H0,270900,1,,,80,0
2000,152,1,566,H0,270900,1,,,312978061,0
2000,152,1,604,H0,270900,1,,,34178246,0
2000,152,1,862,H0,270900,1,,,100503868,0
2000,156,1,0,H0,270900,8,70265318391,70265318391,14860657009,0
2000,156,2,0,H0,270900,8,10306730753,10306730753,2132032958,0
2000,156,1,24,H0,270900,8,8636634112,8636634112,1842016530,0
2000,156,1,36,H0,270900,8,1108399232,1108399232,269798064,0
2000,156,2,36,H0,270900,8,224313728,224313728,46848020,0
2000,156,1,76,H0,270900,8,227806048,227806048,43711107,0
2000,156,1,96,H0,270900,8,275486240,275486240,61332294,0
2000,156,1,120,H0,270900,8,426744352,426744352,91966917,0
2000,156,2,124,H0,270900,8,1,1,1,0
2000,156,1,178,H0,270900,8,1454356736,1454356736,287007313,0
2000,156,1,226,H0,270900,8,1223383808,1223383808,256798365,0
2000,156,1,266,H0,270900,8,457252032,457252032,91383339,0
2000,156,1,276,H0,270900,8,180,180,702,0
2000,156,1,360,H0,270900,8,4575188480,4575188480,966151979,0
2000,156,2,360,H0,270900,8,980727296,980727296,203233453,0
2000,156,1,364,H0,270900,8,7000465408,7000465408,1464018174,0
2000,156,1,368,H0,270900,8,3183182080,3183182080,647630982,0
2000,156,2,392,H0,270900,8,4963617280,4963617280,1027739096,0
2000,156,1,398,H0,270900,8,724177472,724177472,126469986,0
2000,156,2,408,H0,270900,8,389236128,389236128,75570498,0
2000,156,2,410,H0,270900,8,683031040,683031040,121439992,0
2000,156,1,414,H0,270900,8,433428000,433428000,87203508,0
2000,156,1,434,H0,270900,8,129973032,129973032,24694876,0
2000,156,1,458,H0,270900,8,744316800,744316800,184478587,0
2000,156,1,496,H0,270900,8,9631763,9631763,2097678,0
2000,156,1,512,H0,270900,8,15660839936,15660839936,3259231083,0
2000,156,1,566,H0,270900,8,1252518912,1252518912,268861807,0
2000,156,2,566,H0,270900,8,51712336,51712336,12226452,0
2000,156,1,579,H0,270900,8,1477843712,1477843712,299930626,0
2000,156,1,598,H0,270900,8,390598528,390598528,98215895,0
2000,156,1,634,H0,270900,8,1598901888,1598901888,344390434,0
2000,156,1,643,H0,270900,8,1476737920,1476737920,320131510,0
2000,156,1,682,H0,270900,8,5730211328,5730211328,1177817548,0
2000,156,2,699,H0,270900,8,249773360,249773360,56607076,0
2000,156,2,702,H0,270900,8,352787872,352787872,75341030,0
2000,156,1,704,H0,270900,8,3158472192,3158472192,730231144,0
2000,156,1,736,H0,270900,8,3313590784,3313590784,729480549,0
2000,156,1,764,H0,270900,8,285143680,285143680,64952764,0
2000,156,2,764,H0,270900,8,662066368,662066368,132790160,0
2000,156,1,784,H0,270900,8,430473920,430473920,95290454,0
2000,156,1,818,H0,270900,8,120061792,120061792,22454517,0
2000,156,1,826,H0,270900,8,1041526592,1041526592,251045309,0
2000,156,1,842,H0,270900,8,105548008,105548008,16851527,0
2000,156,2,842,H0,270900,8,1749465344,1749465344,380237180,0
2000,156,1,887,H0,270900,8,3612423424,3612423424,735011441,0
2000,170,1,0,H0,270900,8,246989745,246989745,46119229,0
2000,170,2,0,H0,270900,8,20648538825,20648538825,4014825396,6
2000,170,1,32,H0,270900,8,12,12,86,0
2000,170,2,32,H0,270900,8,45860472,45860472,8291074,0
2000,170,1,76,H0,270900,8,55,55,1058,0
2000,170,2,76,H0,270900,8,372257214,372257214,75631726,0
2000,170,2,124,H0,270900,8,76935096,76935096,9267801,0
2000,170,1,218,H0,270900,8,50159000,50159000,9827560,0
2000,170,1,251,H0,270900,8,109,109,1424,0
2000,170,2,530,H0,270900,8,96052,96052,18676,6
2000,170,2,591,H0,270900,8,52883103,52883103,10411856,0
2000,170,1,604,H0,270900,8,4,4,255,0
2000,170,2,604,H0,270900,8,603824991,603824991,107742580,0
2000,170,2,780,H0,270900,8,1016339478,1016339478,181039852,0
2000,170,1,842,H0,270900,8,3,3,625,0
2000,170,2,842,H0,270900,8,18479982404,18479982404,3622351831,0
2000,170,1,862,H0,270900,8,196830490,196830490,36288216,0
2000,170,1,899,H0,270900,8,72,72,5,0
2000,170,2,899,H0,270900,8,360015,360015,70000,6
2000,188,1,0,H0,270900,7,57385480,49342628,8819184,0
2000,188,2,0,H0,270900,7,890,765,45,0
2000,188,1,218,H0,270900,7,49225136,42326000,7680520,0
2000,188,1,276,H0,270900,7,694,597,2699,0
2000,188,1,842,H0,270900,7,50045,43031,54467,0
2000,188,1,862,H0,270900,7,8109599,6973000,1081488,0
2000,188,1,899,H0,270900,7,1,1,10,0
2000,188,2,899,H0,270900,7,890,765,45,0
2000,191,1,0,H0,270900,8,3835166516,3835166516,813130581,0
2000,191,2,0,H0,270900,8,5684508,5684508,1173209,0
2000,191,1,368,H0,270900,8,494197304,494197304,101351862,0
2000,191,1,398,H0,270900,8,76676642,76676642,14764537,0
2000,191,1,434,H0,270900,8,401395078,401395078,95521815,0
2000,191,1,566,H0,270900,8,122851000,122851000,29097724,0
2000,191,1,643,H0,270900,8,2404728282,2404728282,497370846,0
2000,191,2,705,H0,270900,8,5684508,5684508,1173209,0
2000,191,1,760,H0,270900,8,243120804,243120804,53201197,0
2000,191,1,826,H0,270900,8,29960020,29960020,6275719,0
2000,191,1,887,H0,270900,8,62237386,62237386,15546881,0
2000,192,1,0,H0,270900,7,1177433086,1012410220,279900992,0
2000,192,2,0,H0,270900,7,168862473,145195592,12364465,0
2000,192,1,44,H0,270900,7,57128577,49121734,20767080,0
2000,192,1,170,H0,270900,7,271591392,233526562,55217917,0
2000,192,2,251,H0,270900,7,39069399,33593636,2950889,0
2000,192,1,381,H0,270900,7,199,171,1114,0
2000,192,2,381,H0,270900,7,34878101,29989769,2151349,0
2000,192,2,484,H0,270900,7,94914973,81612187,7262227,0
2000,192,1,724,H0,270900,7,1380,1187,5454,0
2000,192,1,862,H0,270900,7,848711534,729760562,203909239,0
2000,192,1,899,H0,270900,7,4,4,188,0
2000,196,1,0,H0,270900,8,1154745968,1154745968,235909373,0
2000,196,1,643,H0,270900,8,601507968,601507968,122103416,0
2000,196,1,760,H0,270900,8,441404000,441404000,95307224,0
2000,196,1,818,H0,270900,8,111834000,111834000,18498733,0
2000,203,1,0,H0,270900,8,5819442681,5819442681,1128847999,0
2000,203,2,0,H0,270900,8,110671676,110671676,14949589,0
2000,203,1,12,H0,270900,8,481444336,481444336,105761394,0
2000,203,1,31,H0,270900,8,27005815,27005815,4024534,0
2000,203,1,40,H0,270900,8,1,1,369,0
2000,203,2,40,H0,270900,8,30516000,30516000,3207955,0
2000,203,1,251,H0,270900,8,116,116,47,0
2000,203,1,276,H0,270900,8,701,701,2733,0
2000,203,2,276,H0,270900,8,22780,22780,3803,0
2000,203,1,348,H0,270900,8,42560,42560,18406,0
2000,203,1,368,H0,270900,8,40793198,40793198,6937768,0
2000,203,2,381,H0,270900,8,20,20,5,0
2000,203,1,392,H0,270900,8,2,2,50,0
2000,203,1,398,H0,270900,8,503108854,503108854,114838714,0
2000,203,1,528,H0,270900,8,6,6,112,0
2000,203,2,616,H0,270900,8,22017222,22017222,4822032,0
2000,203,1,643,H0,270900,8,4767046464,4767046464,897260255,0
2000,203,1,703,H0,270900,8,79,79,152,0
2000,203,2,703,H0,270900,8,58115654,58115654,6915795,0
2000,203,1,757,H0,270900,8,2,2,36,0
2000,203,1,826,H0,270900,8,529,529,2488,0
2000,203,1,842,H0,270900,8,18,18,941,0
2000,208,1,0,H0,270900,8,5664799472,5664799472,1161753632,0
2000,208,2,0,H0,270900,8,11393324687,11393324687,2358410767,0
2000,208,1,233,H0,270900,8,96577000,96577000,25135582,0
2000,208,2,234,H0,270900,8,11820,11820,2960,0
2000,208,2,246,H0,270900,8,2233256082,2233256082,457418803,0
2000,208,1,251,H0,270900,8,119637345,119637345,18673129,0
2000,208,2,251,H0,270900,8,614203310,614203310,113622286,0
2000,208,2,276,H0,270900,8,487198333,487198333,100726420,0
2000,208,1,528,H0,270900,8,100193296,100193296,19256991,0
2000,208,2,528,H0,270900,8,2854078059,2854078059,607439156,0
2000,208,1,579,H0,270900,8,3715245055,3715245055,857044966,0
2000,208,2,579,H0,270900,8,87422889,87422889,15099591,0
2000,208,2,620,H0,270900,8,168897539,168897539,37451185,0
2000,208,1,752,H0,270900,8,623142752,623142752,89286467,0
2000,208,2,752,H0,270900,8,3376989309,3376989309,707644440,0
2000,208,1,826,H0,270900,8,1010004024,1010004024,152356497,0
2000,208,2,826,H0,270900,8,1145342667,1145342667,231367260,0
2000,208,2,842,H0,270900,8,425924679,425924679,87638668,0
2000,218,1,0,H0,270900,7,2132,1833,5261,0
2000,218,2,0,H0,270900,7,14020562944,12055514112,2144008576,0
2000,218,2,32,H0,270900,7,57288240,49259020,9049477,0
2000,218,2,152,H0,270900,7,961816640,827013440,145804272,0
2000,218,2,170,H0,270900,7,2765178,2377625,460886,0
2000,218,2,188,H0,270900,7,47646564,40968672,6936488,0
2000,218,2,222,H0,270900,7,656484736,564475264,99410248,0
2000,218,2,392,H0,270900,7,214839248,184728496,34793972,0
2000,218,2,410,H0,270900,7,2123246592,1825663488,316326112,0
2000,218,2,591,H0,270900,7,1259357696,1082852736,200531424,0
2000,218,2,604,H0,270900,7,1552716800,1335096064,227625472,0
2000,218,2,724,H0,270900,7,39607060,34055940,6033070,0
2000,218,2,842,H0,270900,7,6786767872,5835570176,1049493184,0
2000,218,1,862,H0,270900,7,2107,1812,5086,0
2000,218,2,862,H0,270900,7,58493856,50295664,8630735,0
2000,218,1,899,H0,270900,7,24,21,175,0
2000,218,2,899,H0,270900,7,259532976,223158192,38913176,0
2000,222,1,0,H0,270900,8,995790697,995790697,210404763,0
2000,222,1,218,H0,270900,8,599268671,599268671,113318238,0
2000,222,1,484,H0,270900,8,159552029,159552029,37235729,0
2000,222,1,530,H0,270900,8,68051302,68051302,19636295,0
2000,222,1,842,H0,270900,8,53,53,1298,0
2000,222,1,862,H0,270900,8,168918642,168918642,40213204,0
2000,231,1,0,H0,270900,7,1127,969,884,0
2000,231,1,208,H0,270900,7,1126,968,746,0
2000,231,1,899,H0,270900,7,1,1,138,0
2000,233,1,0,H0,270900,8,12721165,12721165,1881477,0
2000,233,2,0,H0,270900,8,1295615,1295615,177424,0
2000,233,2,218,H0,270900,8,40000,40000,13344,0
2000,233,1,398,H0,270900,8,937836,937836,165998,0
2000,233,2,428,H0,270900,8,957839,957839,127017,0
2000,233,2,440,H0,270900,8,237016,237016,26604,0
2000,233,2,528,H0,270900,8,2960,2960,846,0
2000,233,1,568,H0,270900,8,442,442,3353,0
2000,233,1,643,H0,270900,8,11782865,11782865,1712047,0
2000,233,1,757,H0,270900,8,22,22,78,0
2000,233,2,804,H0,270900,8,57800,57800,9612,0
2000,234,1,0,H0,270900,8,39,39,103,0
2000,234,1,208,H0,270900,8,39,39,103,0
